procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 507180  34084   2168 127508    4    0     4    28 2661  361  0  6 93  1  0
 0  0 507180  33144   2168 127508    0    0     0     0 2654  321  1  5 95  0  0
 0  0 507180  34552   2168 127512    0    0     0     4 5352  577  1 10 90  0  0
 0  0 507180  33696   2168 127516    0    0     0    16 1507  276  0  5 96  0  0
 0  0 507180  29820   2168 127516    0    0     0    44 3928  497  1  8 92  0  0
 0  0 507180  35460   2176 127520    0    0     0    28 6376  691  2 13 85  0  0
 0  0 507180  34368   2176 127520    0    0     0     0 2577  298  0  3 97  0  0
 0  0 507180  22860   2176 127524    0    0     0     0 2312  296  1  5 95  0  0
 0  0 507180  33844   2176 127528    0    0     0    20 8336  835  1 17 82  0  0
 0  0 507180  33740   2176 127528    0    0     0     0 2153  303  0  4 96  0  0
 0  0 507180  33568   2184 127532    0    0     0    44 2674  417  1  4 94  1  0
 0  0 507180  35172   2184 127440    0   28     0    28 9147  887  1 25 74  0  0
 0  0 507180  30640   2184 130664    8    0  3468     0 1322  640  0 19 80  2  0
 0  0 507180  29204   2184 130760    8    0    52     0 2919  543  2  5 93  0  0
 0  0 507180  31016   2184 130764    0    0     0    24 4356  469  1  7 93  0  0
 0  0 507180  30164   2192 130768    0    0     0    36 2234  299  0  3 96  1  0
 0  0 507180  32568   2192 130768    0    0     0     0 2399  339  0  3 97  0  0
 0  0 507180  32792   2192 130772    0    0     0     0 7090  718  0 16 84  0  0
 0  0 507180  32828   2192 130772    0    0     0     0 3227  368  0  6 94  0  0
 3  0 507180  26432   2192 130776    0    0     0    16 2742  387  1  5 94  0  0
 0  0 507436  30824   2340 132804   24    8  2284    52 7108 1194  2 19 79  1  0
 0  0 507436  28960   2340 132804    0    0     0     0 3189  358  0  6 94  0  0
 0  0 507436  25072   2340 132804    0    0     0     0 5801  679  0 16 84  0  0
 0  0 507436  29452   2340 132812    0    0     0     0 4712  574  2  8 90  0  0
 1  0 507436  28956   2340 132812    0    0     0    16 2938  350  0  7 93  0  0
 0  0 507436  29200   2348 132812    0    0     0    40 4407  526  1  9 90  1  0
 0  0 507436  30684   2348 132816    0    0     0     4 5775  593  0 12 88  0  0
 0  0 507436  28080   2348 132820    0    0     0     0 2562  327  0  6 94  0  0
 4  0 507436  27116   2348 132820   84    0    84     0 3184  483  1  7 92  1  0
 0  0 507180  29876   2348 132824   68    0    68    16 4427  634  1 11 88  1  0
 0  0 507180  29752   2356 132824   64    0    64    28 2051  359  0  4 96  0  0
 0  0 506924  17460   2356 132828  156    0   156     0 6673 1818  2 22 75  1  0
 1  0 507180  17764   2256 129032   52  412   104   604 7831 3869  1 48 50  1  0
 0  0 507180  25544   2156 126680   16  284   632   284 5756 4736  2 56 42  1  0
 0  0 507180  34832   2156 126688    0    0     0     0 7408 2386  1 26 73  0  0
 0  0 507180  35508   2164 126680    0    0     0    28 3735  579  1  7 92  1  0
 0  0 507180  31708   2164 126688   16    0    16     0 5222  927  1 15 85  0  0
 0  0 507180  35904   2164 126696    4    0     4    24 9392 2409  1 40 59  0  0
 0  0 507180  35980   2164 126700    0    0     0     0 3165  556  0  6 94  0  0
 0  0 507180  34952   2164 126700    4    0     4     0 2487  395  1  5 94  0  0
 0  0 507180  32748   2172 126692    0    0     0    28 2251  392  0  5 95  0  0
 3  0 507180  33560   2172 126704    0    0     0     0 9598 1424  0 24 76  0  0
 0  0 507180  35168   2172 126712    0    0     0    20 7700 1508  1 22 78  0  0
 0  0 507180  35324   2172 126712    4    0     4     0 2246  359  1  5 94  1  0
